"InteractionType","InteractionName","term","value","L1"
"Antagonistic","Predation","prey","Predation","57198"
"Antagonistic","Predation","prey","Predation","57199"
"Antagonistic","Predation","prey","Predation","57213"
"Antagonistic","Predation","prey","Predation","57300"
"Antagonistic","Predation","prey","Predation","57528"
"Mutualism","Pollination","pollinat","Pollination","57749"
"Mutualism","Pollination","pollinat","Pollination","57928"
"Antagonistic","Predation","prey","Predation","57951"
"Mutualism","Pollination","pollinat","Pollination","58027"
"Mutualism","Pollination","pollinat","Pollination","58032"
"Antagonistic","Predation","prey","Predation","58044"
"Antagonistic","Predation","prey","Predation","58045"
"Antagonistic","Predation","prey","Predation","58046"
"Antagonistic","Predation","prey","Predation","58047"
"Antagonistic","Predation","prey","Predation","58048"
"Antagonistic","Predation","prey","Predation","58049"
"Antagonistic","Predation","prey","Predation","58050"
"Antagonistic","Predation","prey","Predation","58051"
"Antagonistic","Predation","prey","Predation","58065"
"Antagonistic","Predation","prey","Predation","58071"
"Antagonistic","Predation","prey","Predation","58078"
"Antagonistic","Predation","prey","Predation","58079"
"Antagonistic","Predation","prey","Predation","58080"
"Antagonistic","Predation","prey","Predation","58081"
"Antagonistic","Predation","prey","Predation","58083"
"Antagonistic","Predation","prey","Predation","58084"
"Antagonistic","Predation","prey","Predation","58087"
"Antagonistic","Predation","prey","Predation","58089"
"Antagonistic","Predation","prey","Predation","58090"
"Antagonistic","Predation","prey","Predation","58091"
"Antagonistic","Predation","prey","Predation","58093"
"Antagonistic","Predation","prey","Predation","58098"
"Antagonistic","Predation","prey","Predation","58102"
"Antagonistic","Predation","prey","Predation","58103"
"Antagonistic","Predation","prey","Predation","58104"
"Antagonistic","Predation","prey","Predation","58106"
"Antagonistic","Predation","prey","Predation","58113"
"Antagonistic","Predation","prey","Predation","58114"
"Antagonistic","Predation","prey","Predation","58115"
"Antagonistic","Predation","prey","Predation","58129"
"Antagonistic","Predation","prey","Predation","58130"
"Antagonistic","Predation","prey","Predation","58140"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","58142"
"Antagonistic","Predation","prey","Predation","58142"
"Antagonistic","Predation","prey","Predation","58150"
"Antagonistic","Predation","prey","Predation","58151"
"Antagonistic","Predation","prey","Predation","58159"
"Antagonistic","Predation","prey","Predation","58176"
"Antagonistic","Predation","prey","Predation","58177"
"Antagonistic","Predation","prey","Predation","58178"
"Antagonistic","Predation","prey","Predation","58182"
"Antagonistic","Predation","prey","Predation","58189"
"Antagonistic","Predation","prey","Predation","58191"
"Antagonistic","Predation","prey","Predation","58198"
"Antagonistic","Predation","prey","Predation","58199"
"Antagonistic","Predation","prey","Predation","58200"
"Antagonistic","Predation","prey","Predation","58204"
"Antagonistic","Predation","prey","Predation","58211"
"Antagonistic","Predation","prey","Predation","58212"
"Antagonistic","Predation","prey","Predation","58213"
"Antagonistic","Predation","prey","Predation","58214"
"Antagonistic","Predation","prey","Predation","58215"
"Antagonistic","Predation","prey","Predation","58217"
"Antagonistic","Predation","prey","Predation","58220"
"Antagonistic","Predation","prey","Predation","58221"
"Antagonistic","Predation","prey","Predation","58223"
"Antagonistic","Predation","prey","Predation","58224"
"Antagonistic","Predation","prey","Predation","58226"
"Antagonistic","Predation","prey","Predation","58229"
"Antagonistic","Predation","prey","Predation","58232"
"Antagonistic","Predation","prey","Predation","58239"
"Antagonistic","Predation","prey","Predation","58240"
"Antagonistic","Predation","prey","Predation","58241"
"Antagonistic","Predation","prey","Predation","58245"
"Antagonistic","Predation","prey","Predation","58246"
"Antagonistic","Predation","prey","Predation","58252"
"Antagonistic","Predation","prey","Predation","58253"
"Antagonistic","Predation","prey","Predation","58258"
"Antagonistic","Predation","prey","Predation","58263"
"Antagonistic","Predation","prey","Predation","58272"
"Antagonistic","Predation","prey","Predation","58277"
"Antagonistic","Predation","prey","Predation","58283"
