"InteractionType","InteractionName","term","value","L1"
"Mutualism","Pollination","pollinat","Pollination","38993"
"Mutualism","Pollination","pollinat","Pollination","39007"
"Antagonistic","Predation","prey","Predation","39030"
"Mutualism","Pollination","pollinat","Pollination","39045"
"Antagonistic","Predation","prey","Predation","39068"
"Mutualism","Pollination","pollinat","Pollination","39081"
"Antagonistic","Predation","prey","Predation","39241"
"Antagonistic","Predation","prey","Predation","39242"
"Antagonistic","Predation","prey","Predation","39244"
"Antagonistic","Predation","prey","Predation","39719"
"Antagonistic","Predation","prey","Predation","39771"
"Antagonistic","Predation","prey","Predation","39991"
"Antagonistic","Predation","prey","Predation","39992"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","40029"
"Antagonistic","Predation","prey","Predation","40043"
"Antagonistic","Predation","prey","Predation","40053"
"Antagonistic","Predation","prey","Predation","40281"
"Antagonistic","Predation","prey","Predation","40291"
"Antagonistic","Predation","prey","Predation","40409"
"Mutualism","Pollination","pollinat","Pollination","40599"
"Antagonistic","Predation","prey","Predation","40643"
"Antagonistic","Predation","prey","Predation","40646"
"Antagonistic","Predation","prey","Predation","40671"
"Mutualism","Pollination","pollinat","Pollination","40756"
"Mutualism","Pollination","pollinat","Pollination","40757"
"Mutualism","Pollination","pollinat","Pollination","40758"
"Mutualism","Pollination","pollinat","Pollination","40771"
"Mutualism","Pollination","pollinat","Pollination","40785"
"Antagonistic","Predation","prey","Predation","41054"
"Antagonistic","Predation","prey","Predation","41055"
"Antagonistic","Predation","prey","Predation","41056"
"Mutualism","Pollination","pollinat","Pollination","41080"
"Mutualism","Pollination","pollinat","Pollination","41170"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","41349"
"Antagonistic","Predation","prey","Predation","41537"
"Antagonistic","Predation","prey","Predation","41585"
"Mutualism","Pollination","pollinat","Pollination","41786"
"Mutualism","Pollination","pollinat","Pollination","41788"
"Mutualism","Pollination","pollinat","Pollination","41793"
"Mutualism","Pollination","pollinat","Pollination","41797"
"Mutualism","Pollination","pollinat","Pollination","41826"
"Mutualism","Pollination","pollinat","Pollination","41827"
"Mutualism","Pollination","pollinat","Pollination","41830"
"Mutualism","Pollination","pollinat","Pollination","41837"
"Mutualism","Pollination","pollinat","Pollination","41838"
"Mutualism","Pollination","pollinat","Pollination","41857"
"Mutualism","Pollination","pollinat","Pollination","41886"
"Mutualism","Pollination","pollinat","Pollination","41891"
"Mutualism","Pollination","pollinat","Pollination","42848"
"Mutualism","Pollination","pollinat","Pollination","42855"
"Mutualism","Pollination","pollinat","Pollination","42871"
"Mutualism","Pollination","pollinat","Pollination","42893"
"Antagonistic","Predation","prey","Predation","43738"
"Antagonistic","Predation","prey","Predation","43740"
"Antagonistic","Predation","prey","Predation","43741"
"Antagonistic","Predation","prey","Predation","43742"
"Antagonistic","Predation","prey","Predation","43743"
"Mutualism","Pollination","pollinat","Pollination","44147"
"Mutualism","Pollination","pollinat","Pollination","44156"
"Mutualism","Pollination","pollinat","Pollination","44229"
"Mutualism","Pollination","pollinat","Pollination","44347"
"Antagonistic","Predation","prey","Predation","44924"
"Antagonistic","Predation","prey","Predation","44925"
"Antagonistic","Predation","prey","Predation","44926"
"Antagonistic","Predation","prey","Predation","44929"
"Mutualism","Pollination","pollinat","Pollination","44956"
"Mutualism","Pollination","pollinat","Pollination","45084"
"Antagonistic","Predation","prey","Predation","45167"
"Antagonistic","Predation","prey","Predation","45168"
"Antagonistic","Predation","prey","Predation","45171"
"Antagonistic","Predation","prey","Predation","45172"
"Antagonistic","Predation","prey","Predation","45173"
"Antagonistic","Predation","prey","Predation","45177"
"Antagonistic","Predation","prey","Predation","45178"
"Antagonistic","Predation","prey","Predation","45179"
"Antagonistic","Predation","prey","Predation","45181"
"Antagonistic","Predation","prey","Predation","45184"
"Antagonistic","Predation","prey","Predation","45185"
"Antagonistic","Predation","prey","Predation","45186"
"Antagonistic","Predation","prey","Predation","45189"
"Antagonistic","Predation","prey","Predation","45192"
"Antagonistic","Predation","prey","Predation","45193"
"Antagonistic","Predation","prey","Predation","45196"
"Antagonistic","Predation","prey","Predation","45197"
"Antagonistic","Predation","prey","Predation","45198"
"Antagonistic","Predation","prey","Predation","45199"
"Antagonistic","Predation","prey","Predation","45200"
"Antagonistic","Predation","prey","Predation","45202"
"Antagonistic","Predation","prey","Predation","45203"
"Antagonistic","Predation","prey","Predation","45204"
"Antagonistic","Predation","prey","Predation","45206"
"Antagonistic","Predation","prey","Predation","45224"
"Antagonistic","Predation","prey","Predation","45231"
"Antagonistic","Predation","prey","Predation","45232"
"Antagonistic","Predation","prey","Predation","45234"
"Antagonistic","Predation","prey","Predation","45243"
"Antagonistic","Predation","prey","Predation","45244"
"Antagonistic","Predation","prey","Predation","45245"
"Antagonistic","Predation","prey","Predation","45246"
"Antagonistic","Predation","prey","Predation","45257"
"Antagonistic","Predation","prey","Predation","45258"
"Antagonistic","Predation","prey","Predation","45259"
"Antagonistic","Predation","prey","Predation","45273"
"Antagonistic","Predation","prey","Predation","45274"
"Antagonistic","Predation","prey","Predation","45275"
"Antagonistic","Predation","prey","Predation","45276"
"Antagonistic","Predation","prey","Predation","45277"
"Antagonistic","Predation","prey","Predation","45278"
"Antagonistic","Predation","prey","Predation","45284"
"Antagonistic","Predation","prey","Predation","45285"
"Antagonistic","Predation","prey","Predation","45301"
"Antagonistic","Predation","prey","Predation","45302"
"Antagonistic","Predation","prey","Predation","45303"
"Antagonistic","Predation","prey","Predation","45306"
"Antagonistic","Predation","prey","Predation","45307"
"Antagonistic","Predation","prey","Predation","45310"
"Antagonistic","Predation","prey","Predation","45311"
"Antagonistic","Predation","prey","Predation","45313"
"Antagonistic","Predation","prey","Predation","45317"
"Antagonistic","Predation","prey","Predation","45318"
"Antagonistic","Predation","prey","Predation","45320"
"Antagonistic","Predation","prey","Predation","45326"
"Antagonistic","Predation","prey","Predation","45327"
"Antagonistic","Predation","prey","Predation","45328"
"Antagonistic","Predation","prey","Predation","45330"
"Antagonistic","Predation","prey","Predation","45331"
"Antagonistic","Predation","prey","Predation","45332"
"Antagonistic","Predation","prey","Predation","45334"
"Antagonistic","Predation","prey","Predation","45335"
"Antagonistic","Predation","prey","Predation","45336"
"Antagonistic","Predation","prey","Predation","45346"
"Antagonistic","Predation","prey","Predation","45357"
"Antagonistic","Predation","prey","Predation","45358"
"Antagonistic","Predation","prey","Predation","45360"
"Antagonistic","Predation","prey","Predation","45361"
"Antagonistic","Predation","prey","Predation","45362"
"Antagonistic","Predation","prey","Predation","45363"
"Antagonistic","Predation","prey","Predation","45364"
"Antagonistic","Predation","prey","Predation","45365"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","45366"
"Antagonistic","Predation","prey","Predation","45366"
"Antagonistic","Predation","prey","Predation","45367"
"Antagonistic","Predation","prey","Predation","45368"
"Antagonistic","Predation","prey","Predation","45372"
"Antagonistic","Predation","prey","Predation","45375"
"Antagonistic","Predation","prey","Predation","45376"
"Antagonistic","Predation","prey","Predation","45377"
"Antagonistic","Predation","prey","Predation","45378"
"Antagonistic","Predation","prey","Predation","45379"
"Antagonistic","Predation","prey","Predation","45386"
"Antagonistic","Predation","prey","Predation","45399"
"Antagonistic","Predation","prey","Predation","45407"
"Antagonistic","Predation","prey","Predation","45410"
"Antagonistic","Predation","prey","Predation","45411"
"Antagonistic","Predation","prey","Predation","45414"
"Antagonistic","Predation","prey","Predation","45425"
"Antagonistic","Predation","prey","Predation","45428"
"Antagonistic","Predation","prey","Predation","45433"
"Antagonistic","Predation","prey","Predation","45435"
"Antagonistic","Predation","prey","Predation","45436"
"Antagonistic","Predation","prey","Predation","45437"
"Antagonistic","Predation","prey","Predation","45438"
"Antagonistic","Predation","prey","Predation","45439"
"Antagonistic","Predation","prey","Predation","45441"
"Antagonistic","Predation","prey","Predation","45449"
"Antagonistic","Predation","prey","Predation","45450"
"Antagonistic","Predation","prey","Predation","45451"
"Antagonistic","Predation","prey","Predation","45454"
"Antagonistic","Predation","prey","Predation","45457"
"Antagonistic","Predation","prey","Predation","45476"
"Antagonistic","Predation","prey","Predation","45482"
"Antagonistic","Predation","prey","Predation","45483"
"Antagonistic","Predation","prey","Predation","45485"
"Antagonistic","Predation","prey","Predation","45495"
"Antagonistic","Predation","prey","Predation","45496"
"Antagonistic","Predation","prey","Predation","45501"
"Antagonistic","Predation","prey","Predation","45508"
"Antagonistic","Predation","prey","Predation","45509"
"Antagonistic","Predation","prey","Predation","45511"
"Antagonistic","Predation","prey","Predation","45516"
